id,name
393,Acacia
1,Adderley
2,Airport
3,Albany
302,Alberto
289,Alfred
416,Aliam
394,Aloe
4,Amsterdam
5,Annandale
6,Aquarium
362,Arion
279,Arthur's
7,Atalantes
225,Atholl
8,Atlantic Beach
255,Atlantic Skipper
303,Atlantis
491,Atlantis Cemetery
483,Avondale
392,Azalea
268,Bakoven
9,Balfour
276,Bantry Bay
269,Barley Bay
471,Barron
395,Begonia
238,Belle Ombre
10,Ben Nevis
304,Bengal
295,Berg-en-Dal
482,Berkshire West
305,Berzelia
11,Big Bay
493,Birkenhead
467,Biscuit Mill
12,Bitten
13,Blaauwberg Hospital
14,Blouberg Rise
15,Blouberg Sands
16,Boat Bay
17,Bokkombaai
206,Bolt
480,Bontebok
200,Bosmansdam
306,Bottlebrush
455,Boundary
18,Braselton
19,Breakwater
20,Brevity Lane
438,Bridgeway
21,Brittlestar
22,Briza
307,Brutus
23,Cabin
404,Caelian
283,Camberwell
221,Camps Bay
195,Canal Walk North
211,Canal Walk South
405,Carmel
24,Cassel
473,Castle
444,Central Park
209,Century City
208,Century City Rail
198,Century Gate
308,Charel Uys
363,Charel Uys North
309,Charel Uys South
310,Charles Duminy
311,Charles Matthews
342,Charles Mokoena
312,Charles Piers
219,Chas Booth
25,Chester East
26,Chester West
27,Chippenham
28,Church
298,Circle East
29,Civic Centre
278,Clarens
313,Clearwater
275,Clifton
274,Clifton 2nd
273,Clifton 3rd
272,Clifton 4th
314,Colebrook
226,Comrie
30,Convention Centre
461,Conway
462,Coronation
32,Coronation East
33,Coronation West
215,Cotswold
34,CPUT
452,Crassula
361,Crown
372,Curlew
343,D Nyembe
315,Dahlia
218,Dal
261,Daphne
35,Darling
499,Dartford
470,Davison
196,Dawn
36,De Mist
37,De Waal Park
401,Deerlodge
449,Democracy North
433,Democracy South
397,Denne East
398,Denne West
38,Devonshire
426,Dibana
316,Disa
39,Disandt
497,Discovery
40,District Six
477,Dolomites East
476,Dolomites West
41,Dorchester
42,Dorp
457,Dreyer
205,Drill
468,Dublin
43,Dunker
300,Dunoon
494,Duynefontein
44,Earlswood
45,Echium
431,Edison
46,Edward
284,Ellerslie
439,Emerald
358,Enon
201,Esso
203,Estuaries
47,Exner
460,Fenwick
384,Fernande
481,Figaro
281,Firmount
199,First
254,Fishmarket
231,Fiskaal
389,Flamingo Park
48,Foreshore
396,Frans
49,Fresnaye
288,Gallows Hill
50,Garden
51,Gardenia
52,Gardens
317,Gerwyn Owen
53,Gie Central
54,Gie North
55,Gie South
270,Glen Beach
382,Goede Hoop
359,Goedverwacht
318,Gothenburg
451,Gousblom
56,Government Ave
57,Graaffs Pool
210,Grand Canal
134,Granger
58,Granger Bay
463,Green
59,Grey
227,Groote Kerk
319,Grosvenor
490,Grosvenor North
60,Hampstead
61,Hamptons
257,Hangberg
62,Hanover Street
403,Harrow
262,Helgarda
320,Hermes
63,Herzlia
64,High Level
65,Highlands
285,Hill
66,Hoffe North
67,Hoffe South
68,Hol Bay
237,Horak
232,Houghton
291,Hout Bay
69,Human
70,Humewood
294,Imizamo Yethu
424,Imperial
321,Industrial
428,Insiswa
71,Irwinton
373,Jacana
72,Janssens
417,Jeff Masemola
475,Johan Heyns
322,Johan Heyns North
400,Johannes
323,John Dreyer
324,John Van Niekerk
423,Kapteinsklip
325,Kehrweider
73,Kei Apple
74,Kemp
75,Kent
346,Kerrem
391,Kerria Primary
299,Killarney
448,Kiwu
76,Kleinbaai
77,Kloof
216,Kloof Nek
326,Knysna
495,Koeberg Power Station
267,Koeel Bay
427,Kolgha
277,Koosani
204,Kunene
347,Kuyasa Rail Station
410,Kwezi - Khayelitsha
78,La Paloma
429,Lagan
79,Lagoon Beach
260,Lancaster
422,Langeberg
81,Lawley
80,Le Sueur
82,Leeuwen
83,Lighthouse
348,Lindela
150,Link
327,Lisboa
265,Llandudno
464,Loco
84,London
85,Longmarket
399,Lord Caledon
86,Losperds
328,Louwtjie Rothman
87,Lower Buitenkant
233,Lower Camps Bay
469,Lower Church
228,Lower Kloof
88,Lower Long
89,Lower Loop
90,Lower Reservoir
474,Lower Tafelberg
258,Lower Victoria
434,Loxton East
435,Loxton West
229,Ludwig's Garden
456,Madeira
329,Magnet
418,Magnolia
271,Maidens Cove
412,Makabeni
388,Malgas
402,Malvern
441,Mansfield
207,Marconi
349,Marguerite
484,Marigold
91,Marina
92,Marine
93,MArine Circle
330,Mauritius
94,Melkbosch
487,Melkbosch Village
95,Melkbosstrand
96,Merlot
413,Mfundisweni
97,Michaelis
98,Mid Long
99,Mid Loop
250,Military
100,Milnerton
436,Milnerton Lighthouse
350,Mitchells Plain
101,Molteno
212,Montague Gardens
331,Montezuma
364,Montreal
102,Montrose
496,Morningfield
103,Mouille Point
263,Mount Rhodes
104,Muscadel
437,Namer
105,Nantucket
106,Narcissus
458,Narwahl
107,Nazareth
409,Ncumo West
332,Neil Hare
108,Neptune
333,Newlands
411,Ngcingcu
109,Nobel Square
253,Northshore
110,Oakdale
111,Oakland Hills
443,Oasis
432,Ocean Spirit
256,Oceana
112,Old Fire Station
197,Omuramba
408,Oscar Mpheta
266,Oudekraal
259,Oxford Earl
113,Paarden Eiland
414,Pama West
360,Paradise
114,Parklands College
115,Parklands Main
116,Parklands Main North
117,Parklands Main South
118,Parklands Secondary
334,Parkview
390,Patrys
421,Paulsberg
119,Pelican
385,Pella Central
368,Pella North
369,Pella South
120,Perlemoen
121,Petrus
378,Phoenix
122,Pinto
236,Platteklip
366,PM Louw
351,Pontiac
123,Popham
244,Porterfield
297,Potsdam
235,Prima
124,Promenade
223,Quebec
125,Queens Beach
442,Quest
126,Racecourse
127,Radar
128,Ravenscraig
230,Ravensteyn
129,Ravenswood
130,Rayden
131,Raymond
376,Refinery
335,Reygersdal
132,Rhine
290,Riebeeck
133,Riebeeckstrand
135,Robben
375,Robinvale
136,Rocklands
137,Roeland
217,Rontree
138,Roodehek
243,Royal Ascot
472,Russel
478,Ruwenzori
264,Ruyterplaats
430,Sailors Green
466,Salt River Hall
139,Salt River Rail
465,Salt River Rail North
344,Sampson
379,Sanddrift
245,Sandown
498,Sandown East
336,Saxonsea Clinic
337,Saxonsea Primary
296,Scott
280,Sea Point
282,Sea Point High
140,Sea Point Pool
142,Seal
143,Section
352,Sesame
144,Shell
459,Sheridan
338,Sherwood
415,Sigwele
365,Silverstream
145,Skye Way
420,Snowdon
440,Soldier
146,Somerset Hospital
147,Spencer
425,Spine
148,St Bedes
149,St James
151,St Johns Wood
214,St Michael's
152,Stadium
339,Starke
419,Starling
353,Steve Biko
153,Stirling
154,Strand
446,Studio
155,Sunset Beach
156,Surrey
220,Susan
374,Swawel
492,Swift
157,Table View
479,Tafelsig Primary
158,The Castle
159,The Glen
160,Thibault Square
161,Three Anchor Bay
454,Tijgerhof
340,Tom Henshilwood
387,Tortelduif
162,Tramway
163,Tritonia
164,Tryall
386,Tsitsikamma
377,Turf Club
354,Tutu
165,Upper Buitenkant
166,Upper Kloof
167,Upper Long
168,Upper Loop
169,Upper Mountain
170,Upper Orange
287,Upper Portswood
171,Upper Roodebloem
172,Upper Salt River
292,Upper Tafelberg
301,Usasaza
173,Valderrama
293,Valley
383,Valleyfield
174,Van Riebeeck
450,Venus
447,Victoria
175,Viola
176,Vrystaat
355,Vuyani
177,Waldeck
178,Wandsworth
181,Water's Edge
194,Waterford
180,Waterfront
213,Waterfront Silo
445,Waterstone
202,Waterview
182,Waterville
183,Welgemeend
370,Wesfleur Hospital
341,Wesfleur Park
184,West Beach
185,Wexford
234,Whale Rock
286,Wigtown
186,Wood
187,Wood Central
188,Wood North
189,Woodbridge
224,Woodford
190,Woodlands
191,Woodstock
453,Zastron
192,Zoarvlei
193,Zonnebloem
